Channel 1,Channel 2
22.3711,20.8156
22.3695,20.8152
22.3705,20.8150
22.3711,20.8150
22.3727,20.8152
22.3757,20.8154
22.3777,20.8146
22.3767,20.8148
22.3800,20.8156
22.3816,20.8162
22.3856,20.8150
22.3822,20.8146
22.3816,20.8146
22.3826,20.8152
22.3836,20.8146
22.3834,20.8158
22.3826,20.8150
22.3824,20.8144
22.3854,20.8152
22.3880,20.8136
22.3890,20.8148
22.3890,20.8152
22.3826,20.8146
22.3850,20.8150
22.3874,20.8146
22.3892,20.8154
22.3880,20.8156
22.3862,20.8152
22.3866,20.8146
22.3852,20.8154
22.3836,20.8150
22.3822,20.8154
22.3784,20.8156
22.3798,20.8156
22.3816,20.8140
22.3721,20.8158
22.3634,20.8148
22.3566,20.8140
22.3552,20.8144
22.3604,20.8154
22.3650,20.8148
22.3689,20.8156
22.3713,20.8150
22.3701,20.8160
22.3709,20.8158
22.3703,20.8156
22.3697,20.8156
22.3697,20.8154
22.3707,20.8150
22.3713,20.8150
22.3713,20.8152
22.3663,20.8146
22.3642,20.8152
22.3626,20.8152
22.3663,20.8148
22.3697,20.8142
22.3717,20.8146
22.3731,20.8156
22.3727,20.8154
22.3715,20.8156
22.3725,20.8154
22.3733,20.8164
22.3725,20.8148
22.3727,20.8148
22.3721,20.8144
22.3715,20.8148
22.3711,20.8150
22.3697,20.8148
22.3679,20.8160
22.3654,20.8146
22.3667,20.8154
22.3657,20.8152
22.3681,20.8152
22.3687,20.8150
22.3681,20.8148
22.3681,20.8144
22.3691,20.8148
22.3695,20.8152
22.3683,20.8144
22.3675,20.8142
22.3671,20.8146
22.3671,20.8138
22.3661,20.8138
22.3673,20.8150
22.3677,20.8136
22.3683,20.8140
22.3681,20.8140
22.3693,20.8144
22.3689,20.8138
22.3691,20.8146
22.3693,20.8144
22.3701,20.8152
22.3691,20.8144
22.3659,20.8150
22.3628,20.8142
22.3626,20.8138
22.3644,20.8144
22.3657,20.8144
22.3667,20.8134
22.3663,20.8144
22.3654,20.8136
22.3652,20.8146
22.3657,20.8136
22.3669,20.8138
22.3663,20.8144
22.3659,20.8148
22.3646,20.8154
22.3652,20.8148
22.3650,20.8150
22.3659,20.8140
22.3663,20.8140
22.3677,20.8144
22.3703,20.8144
22.3717,20.8138
22.3731,20.8146
22.3737,20.8138
22.3739,20.8140
22.3737,20.8144
22.3709,20.8132
22.3683,20.8138
22.3628,20.8146
22.3554,20.8148
22.3479,20.8140
22.3455,20.8138
22.3441,20.8138
22.3449,20.8150
22.3425,20.8138
22.3417,20.8136
22.3409,20.8132
22.3411,20.8144
22.3415,20.8148
22.3431,20.8148
22.3471,20.8142
22.3519,20.8144
22.3530,20.8132
22.3560,20.8138
22.3562,20.8140
22.3584,20.8146
22.3588,20.8138
22.3602,20.8144
22.3618,20.8134
22.3624,20.8140
22.3634,20.8126
22.3640,20.8134
22.3644,20.8138
22.3640,20.8132
22.3644,20.8140
22.3626,20.8146
22.3622,20.8140
22.3622,20.8134
22.3614,20.8134
22.3602,20.8138
22.3598,20.8140
22.3568,20.8138
22.3554,20.8136
22.3552,20.8144
22.3560,20.8128
22.3572,20.8132
22.3566,20.8140
22.3552,20.8134
22.3564,20.8126
22.3588,20.8132
22.3608,20.8132
22.3616,20.8136
22.3626,20.8134
22.3618,20.8136
22.3604,20.8136
22.3600,20.8130
22.3602,20.8132
22.3608,20.8128
22.3610,20.8130
22.3616,20.8124
22.3632,20.8132
22.3622,20.8134
22.3636,20.8124
22.3636,20.8126
22.3628,20.8130
22.3620,20.8126
22.3628,20.8132
22.3628,20.8134
22.3642,20.8128
22.3628,20.8130
22.3598,20.8132
22.3594,20.8116
22.3584,20.8122
22.3568,20.8136
22.3562,20.8126
22.3568,20.8128
22.3568,20.8132
22.3570,20.8138
22.3580,20.8140
22.3596,20.8144
22.3596,20.8134
22.3600,20.8134
22.3612,20.8136
22.3632,20.8142
22.3634,20.8130
22.3650,20.8134
22.3661,20.8130
22.3667,20.8132
22.3671,20.8144
22.3667,20.8132
22.3671,20.8126
22.3671,20.8144
22.3669,20.8126
22.3695,20.8140
22.3699,20.8132
22.3727,20.8132
22.3721,20.8130
22.3725,20.8130
22.3731,20.8132
22.3713,20.8130
22.3705,20.8130
22.3697,20.8126
22.3687,20.8132
22.3693,20.8130
22.3691,20.8132
22.3689,20.8132
22.3683,20.8134
22.3673,20.8132
22.3671,20.8128
22.3677,20.8124
22.3691,20.8124
22.3687,20.8134
22.3679,20.8138
22.3663,20.8122
22.3657,20.8126
22.3612,20.8134
22.3592,20.8140
22.3584,20.8136
22.3580,20.8134
22.3590,20.8136
22.3600,20.8132
22.3614,20.8138
22.3622,20.8138
22.3636,20.8132
22.3642,20.8126
22.3632,20.8138
22.3616,20.8134
22.3592,20.8128
22.3582,20.8128
22.3564,20.8128
22.3544,20.8128
22.3534,20.8134
22.3517,20.8130
22.3542,20.8140
22.3517,20.8138
22.3501,20.8130
22.3495,20.8134
22.3499,20.8138
22.3530,20.8130
22.3556,20.8134
22.3576,20.8132
22.3586,20.8140
22.3592,20.8132
22.3590,20.8126
22.3560,20.8130
22.3546,20.8130
22.3562,20.8124
22.3552,20.8128
22.3550,20.8126
22.3552,20.8136
22.3556,20.8138
22.3548,20.8128
22.3550,20.8146
22.3532,20.8136
22.3546,20.8128
22.3556,20.8136
22.3548,20.8136
22.3515,20.8136
22.3523,20.8140
22.3548,20.8140
22.3572,20.8136
22.3576,20.8132
22.3574,20.8132
22.3582,20.8132
22.3580,20.8132
22.3606,20.8126
22.3618,20.8128
22.3630,20.8134
22.3616,20.8128
22.3608,20.8122
22.3590,20.8132
22.3582,20.8130
22.3560,20.8126
22.3568,20.8134
22.3560,20.8134
22.3566,20.8130
22.3562,20.8134
22.3546,20.8132
22.3517,20.8132
22.3485,20.8134
22.3467,20.8134
22.3449,20.8134
22.3485,20.8132
22.3485,20.8140
22.3489,20.8138
22.3487,20.8132
22.3491,20.8128
22.3523,20.8140
22.3552,20.8128
22.3574,20.8130
22.3586,20.8128
22.3586,20.8132
22.3560,20.8128
22.3538,20.8120
22.3528,20.8128
22.3507,20.8126
22.3507,20.8124
22.3477,20.8130
22.3479,20.8132
22.3471,20.8132
22.3417,20.8128
22.3354,20.8128
22.3332,20.8132
22.3304,20.8126
22.3292,20.8132
22.3280,20.8136
22.3273,20.8132
22.3276,20.8134
22.3271,20.8132
22.3259,20.8138
22.3247,20.8138
22.3251,20.8144
22.3278,20.8136
22.3310,20.8130
22.3348,20.8128
22.3380,20.8126
22.3386,20.8146
22.3392,20.8134
22.3409,20.8138
22.3419,20.8138
22.3435,20.8136
22.3441,20.8140
22.3459,20.8138
22.3465,20.8146
22.3475,20.8130
22.3465,20.8138
22.3479,20.8138
22.3477,20.8144
22.3473,20.8124
22.3449,20.8142
22.3433,20.8132
22.3441,20.8134
22.3437,20.8138
22.3461,20.8140
22.3457,20.8156
22.3477,20.8140
22.3477,20.8140
22.3449,20.8134
22.3433,20.8132
22.3429,20.8146
22.3417,20.8146
22.3378,20.8142
22.3354,20.8140
22.3354,20.8134
22.3386,20.8140
22.3429,20.8134
22.3447,20.8144
22.3449,20.8138
22.3457,20.8130
22.3459,20.8138
22.3475,20.8144
22.3497,20.8138
22.3489,20.8130
22.3453,20.8142
22.3431,20.8130
22.3394,20.8132
22.3374,20.8146
22.3360,20.8142
22.3354,20.8146
22.3354,20.8148
22.3366,20.8138
22.3388,20.8132
22.3415,20.8138
22.3425,20.8146
22.3433,20.8140
22.3449,20.8138
22.3453,20.8138
22.3483,20.8144
22.3485,20.8138
22.3487,20.8130
22.3495,20.8136
22.3489,20.8144
22.3493,20.8140
22.3499,20.8138
22.3471,20.8130
22.3449,20.8138
22.3439,20.8134
22.3433,20.8138
22.3451,20.8146
22.3479,20.8138
22.3485,20.8152
22.3493,20.8142
22.3503,20.8152
22.3489,20.8136
22.3477,20.8142
22.3479,20.8144
22.3465,20.8136
22.3451,20.8142
22.3435,20.8144
22.3435,20.8142
22.3443,20.8134
22.3449,20.8138
22.3461,20.8144
22.3459,20.8144
22.3433,20.8138
22.3415,20.8140
22.3415,20.8138
22.3403,20.8132
22.3421,20.8138
22.3415,20.8140
22.3407,20.8138
22.3401,20.8138
22.3368,20.8136
22.3354,20.8148
22.3350,20.8148
22.3356,20.8140
22.3326,20.8136
22.3257,20.8148
22.3215,20.8138
22.3147,20.8142
22.3114,20.8136
22.3112,20.8144
22.3084,20.8134
22.3076,20.8138
22.3110,20.8140
22.3142,20.8132
22.3191,20.8140
22.3221,20.8148
22.3249,20.8140
22.3284,20.8150
22.3316,20.8144
22.3342,20.8146
22.3372,20.8150
22.3386,20.8144
22.3394,20.8144
22.3388,20.8150
22.3380,20.8132
22.3398,20.8140
22.3411,20.8142
22.3417,20.8140
22.3415,20.8138
22.3419,20.8130
22.3421,20.8142
22.3419,20.8134
22.3419,20.8142
22.3409,20.8136
22.3376,20.8128
22.3370,20.8132
22.3368,20.8140
22.3366,20.8138
22.3376,20.8140
22.3344,20.8144
22.3324,20.8138
22.3348,20.8144
22.3380,20.8138
22.3396,20.8148
22.3415,20.8138
22.3419,20.8144
22.3429,20.8136
22.3437,20.8136
22.3409,20.8140
22.3380,20.8144
22.3354,20.8138
22.3332,20.8136
22.3320,20.8144
22.3308,20.8144
22.3296,20.8144
22.3265,20.8140
22.3241,20.8152
22.3225,20.8138
22.3225,20.8154
22.3219,20.8152
22.3245,20.8144
22.3261,20.8148
22.3247,20.8142
22.3179,20.8144
22.3142,20.8144
22.3126,20.8144
22.3134,20.8140
22.3157,20.8134
22.3181,20.8132
22.3221,20.8134
22.3249,20.8126
22.3280,20.8136
22.3290,20.8148
22.3310,20.8144
22.3334,20.8134
22.3332,20.8138
22.3306,20.8138
22.3259,20.8132
22.3233,20.8134
22.3249,20.8140
22.3282,20.8142
22.3296,20.8140
22.3308,20.8140
22.3306,20.8134
22.3308,20.8146
22.3304,20.8142
22.3292,20.8140
22.3298,20.8142
22.3302,20.8144
22.3312,20.8140
22.3320,20.8144
22.3322,20.8142
22.3350,20.8136
22.3364,20.8138
22.3370,20.8140
22.3376,20.8144
22.3384,20.8142
22.3394,20.8138
22.3396,20.8144
22.3388,20.8138
22.3366,20.8146
22.3356,20.8138
22.3364,20.8144
22.3390,20.8154
22.3398,20.8148
22.3405,20.8144
22.3405,20.8140
22.3394,20.8138
22.3370,20.8142
22.3330,20.8144
22.3326,20.8142
22.3302,20.8142
22.3298,20.8140
22.3302,20.8140
22.3312,20.8146
22.3344,20.8150
22.3352,20.8148
22.3336,20.8140
22.3304,20.8158
22.3306,20.8150
22.3276,20.8142
22.3271,20.8148
22.3263,20.8148
22.3251,20.8150
22.3267,20.8140
22.3278,20.8138
22.3298,20.8144
22.3318,20.8144
22.3348,20.8142
22.3360,20.8144
22.3372,20.8136
22.3370,20.8140
22.3362,20.8140
22.3340,20.8136
22.3310,20.8130
22.3294,20.8128
22.3276,20.8134
22.3282,20.8140
22.3276,20.8130
22.3282,20.8132
22.3284,20.8138
22.3294,20.8142
22.3302,20.8144
22.3310,20.8150
22.3324,20.8146
22.3316,20.8146
22.3312,20.8144
22.3302,20.8142
22.3292,20.8140
22.3269,20.8138
22.3276,20.8150
22.3280,20.8148
22.3278,20.8150
22.3276,20.8148
22.3282,20.8144
22.3292,20.8152
22.3302,20.8148
22.3304,20.8142
22.3308,20.8146
22.3310,20.8152
22.3314,20.8144
22.3314,20.8148
22.3306,20.8148
22.3306,20.8144
22.3304,20.8138
22.3306,20.8144
22.3296,20.8144
22.3292,20.8154
22.3276,20.8148
22.3261,20.8144
22.3269,20.8148
22.3251,20.8144
22.3251,20.8144
22.3255,20.8152
22.3249,20.8148
22.3243,20.8152
22.3237,20.8152
22.3231,20.8146
22.3221,20.8146
22.3195,20.8142
22.3185,20.8158
22.3183,20.8146
22.3193,20.8154
22.3205,20.8148
22.3223,20.8148
22.3235,20.8160
22.3239,20.8160
22.3233,20.8156
22.3231,20.8152
22.3213,20.8154
22.3187,20.8154
22.3185,20.8154
22.3171,20.8160
22.3159,20.8160
22.3157,20.8154
22.3159,20.8167
22.3161,20.8162
22.3185,20.8162
22.3199,20.8164
22.3215,20.8156
22.3207,20.8158
22.3213,20.8156
22.3191,20.8160
22.3163,20.8160
22.3114,20.8150
22.3086,20.8154
22.3090,20.8154
22.3090,20.8154
22.3102,20.8152
22.3102,20.8154
22.3068,20.8154
22.3050,20.8156
22.3032,20.8150
22.3026,20.8144
22.3001,20.8154
22.2969,20.8158
22.2959,20.8158
22.2951,20.8152
22.2969,20.8162
22.2977,20.8162
22.2983,20.8150
22.2993,20.8158
22.2991,20.8152
22.2959,20.8156
22.2949,20.8156
22.2941,20.8156
22.2917,20.8158
22.2909,20.8164
22.2905,20.8158
22.2897,20.8158
22.2882,20.8162
22.2870,20.8154
22.2872,20.8167
22.2882,20.8171
22.2890,20.8162
22.2897,20.8169
22.2901,20.8169
22.2909,20.8169
22.2893,20.8167
22.2882,20.8169
22.2880,20.8169
22.2899,20.8171
22.2935,20.8160
22.2963,20.8164
22.2981,20.8175
22.3007,20.8164
22.3020,20.8164
22.3038,20.8171
22.3042,20.8156
22.3044,20.8162
22.3054,20.8152
22.3060,20.8160
22.3072,20.8160
22.3066,20.8162
22.3064,20.8164
22.3052,20.8164
22.3058,20.8164
22.3048,20.8164
22.3026,20.8164
22.2981,20.8162
22.2947,20.8162
22.2953,20.8164
22.2959,20.8160
22.2953,20.8175
22.2967,20.8160
22.2959,20.8160
22.2937,20.8156
22.2921,20.8154
22.2911,20.8171
22.2880,20.8154
22.2862,20.8158
22.2848,20.8160
22.2842,20.8156
22.2860,20.8160
22.2852,20.8154
22.2870,20.8164
22.2895,20.8167
22.2927,20.8162
22.2943,20.8154
22.2957,20.8160
22.2971,20.8162
22.2979,20.8171
22.2977,20.8158
22.2993,20.8164
22.2987,20.8154
22.2967,20.8169
22.2971,20.8156
22.2985,20.8160
22.3013,20.8154
22.3024,20.8164
22.3048,20.8169
22.3052,20.8167
22.3064,20.8150
22.3072,20.8167
22.3044,20.8164
22.3032,20.8162
22.3038,20.8160
22.3046,20.8164
22.3048,20.8158
22.3060,20.8164
22.3068,20.8162
22.3076,20.8164
22.3082,20.8171
22.3092,20.8162
22.3088,20.8156
22.3080,20.8152
22.3084,20.8158
22.3076,20.8164
22.3072,20.8154
22.3034,20.8150
22.2991,20.8154
22.2961,20.8156
22.2973,20.8150
22.2961,20.8156
22.2943,20.8169
22.2937,20.8171
22.2955,20.8181
22.2967,20.8167
22.2983,20.8162
22.2991,20.8160
22.2975,20.8160
22.2931,20.8167
22.2903,20.8169
22.2862,20.8160
22.2826,20.8160
22.2818,20.8164
22.2808,20.8152
22.2812,20.8162
22.2788,20.8169
22.2784,20.8167
22.2790,20.8177
22.2796,20.8158
22.2806,20.8167
22.2834,20.8164
22.2838,20.8167
22.2828,20.8164
22.2812,20.8162
22.2802,20.8160
22.2759,20.8171
22.2733,20.8162
22.2743,20.8164
22.2751,20.8167
22.2761,20.8171
22.2776,20.8154
22.2782,20.8173
22.2792,20.8181
22.2830,20.8173
22.2858,20.8173
22.2876,20.8177
22.2872,20.8173
22.2884,20.8162
22.2886,20.8169
22.2866,20.8156
22.2828,20.8173
22.2800,20.8162
22.2786,20.8167
22.2776,20.8173
22.2788,20.8164
22.2798,20.8169
22.2820,20.8160
22.2834,20.8171
22.2852,20.8156
22.2850,20.8171
22.2866,20.8162
22.2864,20.8173
22.2876,20.8173
22.2876,20.8173
22.2880,20.8169
22.2882,20.8167
22.2884,20.8171
22.2880,20.8171
22.2872,20.8181
22.2870,20.8177
22.2880,20.8171
22.2876,20.8169
22.2884,20.8173
22.2870,20.8175
22.2852,20.8171
22.2830,20.8181
22.2798,20.8175
22.2790,20.8179
22.2757,20.8179
22.2691,20.8179
22.2653,20.8171
22.2610,20.8173
22.2608,20.8171
22.2600,20.8171
22.2602,20.8173
22.2584,20.8175
22.2578,20.8179
22.2582,20.8181
22.2596,20.8179
22.2604,20.8179
22.2624,20.8175
22.2639,20.8175
22.2653,20.8175
22.2675,20.8179
22.2677,20.8177
22.2691,20.8169
22.2707,20.8185
22.2739,20.8179
22.2761,20.8181
22.2772,20.8171
22.2778,20.8164
22.2788,20.8175
22.2786,20.8177
22.2770,20.8181
22.2751,20.8164
22.2739,20.8187
22.2743,20.8181
22.2745,20.8181
22.2749,20.8187
22.2749,20.8187
22.2735,20.8175
22.2727,20.8171
22.2723,20.8175
22.2721,20.8183
22.2725,20.8185
22.2727,20.8189
22.2713,20.8189
22.2715,20.8189
22.2715,20.8187
22.2715,20.8189
22.2727,20.8189
22.2705,20.8191
22.2681,20.8179
22.2685,20.8179
22.2683,20.8185
22.2675,20.8175
22.2653,20.8183
22.2634,20.8181
22.2628,20.8185
22.2649,20.8177
22.2612,20.8185
22.2618,20.8191
22.2628,20.8187
22.2645,20.8175
22.2671,20.8179
22.2695,20.8179
22.2691,20.8171
22.2681,20.8179
22.2651,20.8175
22.2616,20.8179
22.2600,20.8181
22.2596,20.8185
22.2596,20.8169
22.2616,20.8181
22.2606,20.8185
22.2570,20.8183
22.2530,20.8175
22.2576,20.8173
22.2634,20.8187
22.2647,20.8187
22.2661,20.8177
22.2687,20.8189
22.2691,20.8179
22.2659,20.8164
22.2632,20.8183
22.2641,20.8187
22.2669,20.8179
22.2681,20.8173
22.2697,20.8181
22.2703,20.8175
22.2713,20.8171
22.2723,20.8183
22.2723,20.8167
22.2721,20.8175
22.2733,20.8181
22.2701,20.8173
22.2659,20.8177
22.2639,20.8177
22.2608,20.8177
22.2558,20.8181
22.2552,20.8183
22.2554,20.8183
22.2562,20.8177
22.2546,20.8175
22.2505,20.8189
22.2489,20.8189
22.2503,20.8187
22.2528,20.8195
22.2546,20.8185
22.2558,20.8193
22.2552,20.8187
22.2550,20.8189
22.2546,20.8187
22.2546,20.8193
22.2526,20.8189
22.2499,20.8187
22.2481,20.8195
22.2487,20.8187
22.2471,20.8193
22.2475,20.8185
22.2471,20.8187
22.2469,20.8193
22.2473,20.8193
22.2465,20.8187
22.2459,20.8189
22.2457,20.8189
22.2459,20.8193
22.2453,20.8195
22.2453,20.8195
22.2447,20.8191
22.2449,20.8193
22.2445,20.8197
22.2461,20.8195
22.2481,20.8193
22.2497,20.8203
22.2499,20.8197
22.2499,20.8203
22.2489,20.8197
22.2483,20.8187
22.2485,20.8187
22.2503,20.8193
22.2495,20.8205
22.2509,20.8199
22.2503,20.8201
22.2493,20.8203
22.2477,20.8197
22.2467,20.8191
22.2469,20.8205
22.2449,20.8197
22.2447,20.8193
22.2441,20.8195
22.2441,20.8195
22.2425,20.8195
22.2435,20.8205
22.2451,20.8189
22.2467,20.8199
22.2473,20.8201
22.2479,20.8195
22.2483,20.8213
22.2491,20.8195
22.2493,20.8191
22.2505,20.8195
22.2493,20.8201
22.2475,20.8209
22.2461,20.8193
22.2441,20.8205
22.2439,20.8195
22.2439,20.8213
22.2423,20.8201
22.2423,20.8193
22.2433,20.8201
22.2443,20.8209
22.2451,20.8195
22.2455,20.8201
22.2457,20.8199
22.2441,20.8205
22.2389,20.8197
22.2358,20.8195
22.2401,20.8203
22.2411,20.8205
22.2427,20.8201
22.2427,20.8205
22.2443,20.8195
22.2433,20.8205
22.2435,20.8189
22.2461,20.8199
22.2477,20.8201
22.2489,20.8193
22.2489,20.8201
22.2451,20.8199
22.2393,20.8199
22.2354,20.8199
22.2342,20.8201
22.2328,20.8203
22.2340,20.8203
22.2342,20.8201
22.2372,20.8201
22.2366,20.8201
22.2368,20.8205
22.2374,20.8203
22.2385,20.8191
22.2395,20.8193
22.2407,20.8195
22.2425,20.8199
22.2443,20.8195
22.2427,20.8193
22.2419,20.8205
22.2417,20.8199
22.2405,20.8199
22.2395,20.8213
22.2411,20.8199
22.2403,20.8189
22.2397,20.8191
22.2376,20.8195
22.2372,20.8193
22.2362,20.8199
22.2358,20.8201
22.2364,20.8195
22.2356,20.8193
22.2360,20.8199
22.2358,20.8199
22.2356,20.8207
22.2362,20.8189
22.2372,20.8193
22.2385,20.8199
22.2380,20.8203
22.2370,20.8195
22.2380,20.8193
22.2356,20.8195
22.2330,20.8199
22.2336,20.8199
22.2348,20.8211
22.2383,20.8201
22.2409,20.8197
22.2427,20.8209
22.2447,20.8207
22.2449,20.8209
22.2455,20.8197
22.2469,20.8209
22.2465,20.8207
22.2475,20.8201
22.2473,20.8211
22.2461,20.8201
22.2447,20.8205
22.2447,20.8213
22.2447,20.8209
22.2469,20.8211
22.2487,20.8207
22.2489,20.8203
22.2501,20.8205
22.2503,20.8205
22.2507,20.8203
22.2503,20.8207
22.2499,20.8207
22.2505,20.8211
22.2495,20.8211
22.2481,20.8201
22.2489,20.8215
22.2471,20.8215
22.2465,20.8207
22.2443,20.8215
22.2425,20.8209
22.2417,20.8203
22.2411,20.8207
22.2421,20.8217
22.2417,20.8213
22.2431,20.8213
22.2415,20.8213
22.2427,20.8203
22.2419,20.8215
22.2427,20.8213
22.2425,20.8217
22.2423,20.8207
22.2405,20.8199
22.2389,20.8199
22.2383,20.8211
22.2356,20.8203
22.2348,20.8201
22.2318,20.8207
22.2302,20.8205
22.2282,20.8203
22.2276,20.8203
22.2264,20.8213
22.2264,20.8211
22.2253,20.8207
22.2266,20.8199
22.2302,20.8205
22.2324,20.8209
22.2324,20.8207
22.2332,20.8213
22.2322,20.8209
22.2334,20.8199
22.2338,20.8209
22.2348,20.8201
22.2348,20.8205
22.2354,20.8211
22.2346,20.8215
22.2348,20.8205
22.2326,20.8201
22.2330,20.8199
22.2316,20.8209
22.2300,20.8207
22.2290,20.8219
22.2282,20.8203
22.2278,20.8207
22.2274,20.8207
22.2264,20.8199
22.2253,20.8211
22.2255,20.8209
22.2245,20.8211
22.2239,20.8209
22.2225,20.8209
22.2221,20.8209
22.2227,20.8205
22.2241,20.8205
22.2245,20.8209
22.2249,20.8207
22.2251,20.8215
22.2262,20.8217
22.2276,20.8215
22.2300,20.8215
22.2304,20.8217
22.2300,20.8213
22.2308,20.8219
22.2302,20.8213
22.2286,20.8207
22.2294,20.8203
22.2288,20.8207
22.2288,20.8209
22.2286,20.8213
22.2282,20.8199
22.2282,20.8211
22.2290,20.8219
22.2300,20.8217
22.2296,20.8207
22.2296,20.8205
22.2298,20.8207
22.2288,20.8209
22.2294,20.8207
22.2280,20.8211
22.2276,20.8213
22.2282,20.8213
22.2280,20.8217
22.2278,20.8215
22.2268,20.8213
22.2270,20.8213
22.2274,20.8217
22.2274,20.8225
22.2272,20.8217
22.2264,20.8215
22.2262,20.8225
22.2229,20.8215
22.2213,20.8227
22.2191,20.8217
22.2167,20.8219
22.2161,20.8207
22.2151,20.8225
22.2149,20.8215
22.2143,20.8217
22.2131,20.8219
22.2131,20.8221
22.2135,20.8219
22.2124,20.8219
22.2135,20.8217
22.2133,20.8219
22.2141,20.8219
22.2149,20.8217
22.2141,20.8223
22.2149,20.8227
22.2135,20.8225
22.2133,20.8219
22.2114,20.8213
22.2094,20.8213
22.2092,20.8219
22.2076,20.8207
22.2062,20.8219
22.2046,20.8229
22.2024,20.8217
22.2040,20.8223
22.2024,20.8229
22.2024,20.8233
22.2006,20.8221
22.2008,20.8225
22.1991,20.8215
22.1993,20.8221
22.1997,20.8231
22.1995,20.8219
22.1991,20.8221
22.1987,20.8217
22.1981,20.8219
22.1977,20.8231
22.1985,20.8225
22.1993,20.8229
22.2014,20.8225
22.2032,20.8225
22.2052,20.8225
22.2058,20.8225
22.2070,20.8223
22.2066,20.8233
22.2072,20.8229
22.2068,20.8231
22.2068,20.8231
22.2070,20.8227
22.2068,20.8235
22.2070,20.8229
22.2082,20.8225
22.2078,20.8229
22.2078,20.8235
22.2082,20.8225
22.2078,20.8233
22.2082,20.8229
22.2086,20.8231
22.2078,20.8225
22.2070,20.8225
22.2072,20.8231
22.2058,20.8225
22.2046,20.8231
22.2034,20.8221
22.2014,20.8219
22.2020,20.8233
22.2036,20.8225
22.2050,20.8231
22.2060,20.8229
22.2070,20.8229
22.2072,20.8229
22.2078,20.8227
22.2090,20.8233
22.2092,20.8227
22.2092,20.8209
22.2090,20.8233
22.2076,20.8225
22.2082,20.8225
22.2084,20.8237
22.2070,20.8233
22.2064,20.8233
22.2058,20.8229
22.2036,20.8237
22.2032,20.8231
22.2034,20.8237
22.2026,20.8235
22.2026,20.8233
22.2018,20.8229
22.2006,20.8229
22.1991,20.8231
22.1987,20.8237
22.1981,20.8233
22.1963,20.8233
22.1959,20.8239
22.1953,20.8241
22.1939,20.8235
22.1925,20.8237
22.1911,20.8243
22.1897,20.8233
22.1881,20.8241
22.1868,20.8229
22.1848,20.8233
22.1838,20.8235
22.1820,20.8231
22.1818,20.8231
22.1798,20.8233
22.1796,20.8241
22.1792,20.8243
22.1788,20.8235
22.1788,20.8241
22.1794,20.8249
22.1788,20.8241
22.1784,20.8239
22.1790,20.8241
22.1792,20.8243
22.1796,20.8245
22.1784,20.8241
22.1782,20.8241
22.1766,20.8239
22.1764,20.8241
22.1758,20.8241
22.1737,20.8235
22.1748,20.8237
22.1743,20.8237
22.1743,20.8233
22.1739,20.8235
22.1748,20.8237
22.1745,20.8249
22.1750,20.8245
22.1762,20.8239
22.1770,20.8247
